PERMNO,date,TICKER,COMNAM,PRC,CFACPR
61241,20220218,AMD,ADVANCED MICRO DEVICES INC,113.83000,1
61241,20220222,AMD,ADVANCED MICRO DEVICES INC,115.65000,1
61241,20220223,AMD,ADVANCED MICRO DEVICES INC,109.76000,1
61241,20220224,AMD,ADVANCED MICRO DEVICES INC,116.61000,1
61241,20220225,AMD,ADVANCED MICRO DEVICES INC,121.06000,1
61241,20220228,AMD,ADVANCED MICRO DEVICES INC,123.34000,1
61241,20220301,AMD,ADVANCED MICRO DEVICES INC,113.83000,1
61241,20220302,AMD,ADVANCED MICRO DEVICES INC,118.28000,1
61241,20220303,AMD,ADVANCED MICRO DEVICES INC,111.98000,1
61241,20220304,AMD,ADVANCED MICRO DEVICES INC,108.41000,1
61241,20220307,AMD,ADVANCED MICRO DEVICES INC,102.95000,1
61241,20220308,AMD,ADVANCED MICRO DEVICES INC,105.53000,1
61241,20220309,AMD,ADVANCED MICRO DEVICES INC,111.05000,1
61241,20220310,AMD,ADVANCED MICRO DEVICES INC,106.46000,1
61241,20220311,AMD,ADVANCED MICRO DEVICES INC,104.29000,1
61241,20220314,AMD,ADVANCED MICRO DEVICES INC,102.25000,1
61241,20220315,AMD,ADVANCED MICRO DEVICES INC,109.33000,1
61241,20220316,AMD,ADVANCED MICRO DEVICES INC,115.37000,1
61241,20220317,AMD,ADVANCED MICRO DEVICES INC,111.69000,1
61241,20220318,AMD,ADVANCED MICRO DEVICES INC,113.46000,1
61241,20220321,AMD,ADVANCED MICRO DEVICES INC,115.92000,1
61241,20220322,AMD,ADVANCED MICRO DEVICES INC,114.78000,1
61241,20220323,AMD,ADVANCED MICRO DEVICES INC,113.92000,1
61241,20220324,AMD,ADVANCED MICRO DEVICES INC,120.53000,1
61241,20220325,AMD,ADVANCED MICRO DEVICES INC,119.67000,1
61241,20220328,AMD,ADVANCED MICRO DEVICES INC,120.24000,1
61241,20220329,AMD,ADVANCED MICRO DEVICES INC,123.23000,1
61241,20220330,AMD,ADVANCED MICRO DEVICES INC,119.22000,1
61241,20220331,AMD,ADVANCED MICRO DEVICES INC,109.34000,1
61241,20220401,AMD,ADVANCED MICRO DEVICES INC,108.19000,1
61241,20220404,AMD,ADVANCED MICRO DEVICES INC,110.53000,1
61241,20220405,AMD,ADVANCED MICRO DEVICES INC,106.82000,1
61241,20220406,AMD,ADVANCED MICRO DEVICES INC,103.67000,1
61241,20220407,AMD,ADVANCED MICRO DEVICES INC,103.72000,1
61241,20220408,AMD,ADVANCED MICRO DEVICES INC,101.00000,1
61241,20220411,AMD,ADVANCED MICRO DEVICES INC,97.37000,1
61241,20220412,AMD,ADVANCED MICRO DEVICES INC,95.10000,1
61241,20220413,AMD,ADVANCED MICRO DEVICES INC,97.74000,1
61241,20220414,AMD,ADVANCED MICRO DEVICES INC,93.06000,1
61241,20220418,AMD,ADVANCED MICRO DEVICES INC,93.89000,1
61241,20220419,AMD,ADVANCED MICRO DEVICES INC,96.93000,1
61241,20220420,AMD,ADVANCED MICRO DEVICES INC,94.02000,1
61241,20220421,AMD,ADVANCED MICRO DEVICES INC,89.85000,1
61241,20220422,AMD,ADVANCED MICRO DEVICES INC,88.14000,1
61241,20220425,AMD,ADVANCED MICRO DEVICES INC,90.69000,1
61241,20220426,AMD,ADVANCED MICRO DEVICES INC,85.16000,1
61241,20220427,AMD,ADVANCED MICRO DEVICES INC,84.91000,1
61241,20220428,AMD,ADVANCED MICRO DEVICES INC,89.64000,1
61241,20220429,AMD,ADVANCED MICRO DEVICES INC,85.52000,1
61241,20220502,AMD,ADVANCED MICRO DEVICES INC,89.84000,1
61241,20220503,AMD,ADVANCED MICRO DEVICES INC,91.13000,1
61241,20220504,AMD,ADVANCED MICRO DEVICES INC,99.42000,1
61241,20220505,AMD,ADVANCED MICRO DEVICES INC,93.87000,1
61241,20220506,AMD,ADVANCED MICRO DEVICES INC,95.34000,1
61241,20220509,AMD,ADVANCED MICRO DEVICES INC,86.36000,1
61241,20220510,AMD,ADVANCED MICRO DEVICES INC,88.73000,1
61241,20220511,AMD,ADVANCED MICRO DEVICES INC,87.92000,1
61241,20220512,AMD,ADVANCED MICRO DEVICES INC,87.06000,1
61241,20220513,AMD,ADVANCED MICRO DEVICES INC,95.12000,1
61241,20220516,AMD,ADVANCED MICRO DEVICES INC,94.24000,1
61241,20220517,AMD,ADVANCED MICRO DEVICES INC,102.47000,1
61241,20220518,AMD,ADVANCED MICRO DEVICES INC,96.28000,1
61241,20220519,AMD,ADVANCED MICRO DEVICES INC,96.67000,1
61241,20220520,AMD,ADVANCED MICRO DEVICES INC,93.50000,1
61241,20220523,AMD,ADVANCED MICRO DEVICES INC,95.07000,1
61241,20220524,AMD,ADVANCED MICRO DEVICES INC,91.16000,1
61241,20220525,AMD,ADVANCED MICRO DEVICES INC,92.65000,1
61241,20220526,AMD,ADVANCED MICRO DEVICES INC,98.75000,1
61241,20220527,AMD,ADVANCED MICRO DEVICES INC,102.26000,1
61241,20220531,AMD,ADVANCED MICRO DEVICES INC,101.86000,1
61241,20220601,AMD,ADVANCED MICRO DEVICES INC,101.22000,1
61241,20220602,AMD,ADVANCED MICRO DEVICES INC,108.59000,1
61241,20220603,AMD,ADVANCED MICRO DEVICES INC,106.30000,1
61241,20220606,AMD,ADVANCED MICRO DEVICES INC,105.65000,1
61241,20220607,AMD,ADVANCED MICRO DEVICES INC,105.28000,1
61241,20220608,AMD,ADVANCED MICRO DEVICES INC,101.90000,1
61241,20220609,AMD,ADVANCED MICRO DEVICES INC,98.80000,1
61241,20220610,AMD,ADVANCED MICRO DEVICES INC,94.82000,1
61241,20220613,AMD,ADVANCED MICRO DEVICES INC,86.99000,1
61241,20220614,AMD,ADVANCED MICRO DEVICES INC,86.99000,1
61241,20220615,AMD,ADVANCED MICRO DEVICES INC,89.30000,1
61241,20220616,AMD,ADVANCED MICRO DEVICES INC,82.05000,1
61241,20220617,AMD,ADVANCED MICRO DEVICES INC,81.57000,1
61241,20220621,AMD,ADVANCED MICRO DEVICES INC,83.79000,1
61241,20220622,AMD,ADVANCED MICRO DEVICES INC,83.75000,1
61241,20220623,AMD,ADVANCED MICRO DEVICES INC,82.43000,1
61241,20220624,AMD,ADVANCED MICRO DEVICES INC,87.08000,1
61241,20220627,AMD,ADVANCED MICRO DEVICES INC,86.16000,1
61241,20220628,AMD,ADVANCED MICRO DEVICES INC,80.78000,1
61241,20220629,AMD,ADVANCED MICRO DEVICES INC,77.99000,1
61241,20220630,AMD,ADVANCED MICRO DEVICES INC,76.47000,1
61241,20220701,AMD,ADVANCED MICRO DEVICES INC,73.67000,1
61241,20220705,AMD,ADVANCED MICRO DEVICES INC,75.20000,1
61241,20220706,AMD,ADVANCED MICRO DEVICES INC,75.35000,1
61241,20220707,AMD,ADVANCED MICRO DEVICES INC,79.30000,1
61241,20220708,AMD,ADVANCED MICRO DEVICES INC,79.35000,1
61241,20220711,AMD,ADVANCED MICRO DEVICES INC,76.95000,1
61241,20220712,AMD,ADVANCED MICRO DEVICES INC,76.36000,1
61241,20220713,AMD,ADVANCED MICRO DEVICES INC,77.52000,1
61241,20220714,AMD,ADVANCED MICRO DEVICES INC,78.60000,1
61241,20220715,AMD,ADVANCED MICRO DEVICES INC,81.11000,1
61241,20220718,AMD,ADVANCED MICRO DEVICES INC,81.43000,1
61241,20220719,AMD,ADVANCED MICRO DEVICES INC,85.88000,1
61241,20220720,AMD,ADVANCED MICRO DEVICES INC,89.43000,1
61241,20220721,AMD,ADVANCED MICRO DEVICES INC,91.09000,1
61241,20220722,AMD,ADVANCED MICRO DEVICES INC,88.10000,1
61241,20220725,AMD,ADVANCED MICRO DEVICES INC,87.54000,1
61241,20220726,AMD,ADVANCED MICRO DEVICES INC,85.25000,1
61241,20220727,AMD,ADVANCED MICRO DEVICES INC,89.82000,1
61241,20220728,AMD,ADVANCED MICRO DEVICES INC,91.67000,1
61241,20220729,AMD,ADVANCED MICRO DEVICES INC,94.47000,1
61241,20220801,AMD,ADVANCED MICRO DEVICES INC,96.78000,1
61241,20220802,AMD,ADVANCED MICRO DEVICES INC,99.29000,1
61241,20220803,AMD,ADVANCED MICRO DEVICES INC,98.09000,1
61241,20220804,AMD,ADVANCED MICRO DEVICES INC,103.91000,1
61241,20220805,AMD,ADVANCED MICRO DEVICES INC,102.31000,1
61241,20220808,AMD,ADVANCED MICRO DEVICES INC,100.07000,1
61241,20220809,AMD,ADVANCED MICRO DEVICES INC,95.54000,1
61241,20220810,AMD,ADVANCED MICRO DEVICES INC,99.05000,1
61241,20220811,AMD,ADVANCED MICRO DEVICES INC,98.12000,1
61241,20220812,AMD,ADVANCED MICRO DEVICES INC,100.83000,1
61241,20220815,AMD,ADVANCED MICRO DEVICES INC,101.01000,1
61241,20220816,AMD,ADVANCED MICRO DEVICES INC,100.20000,1
61241,20220817,AMD,ADVANCED MICRO DEVICES INC,98.27000,1
61241,20220818,AMD,ADVANCED MICRO DEVICES INC,100.44000,1
61241,20220819,AMD,ADVANCED MICRO DEVICES INC,95.95000,1
61241,20220822,AMD,ADVANCED MICRO DEVICES INC,92.84000,1
61241,20220823,AMD,ADVANCED MICRO DEVICES INC,92.49000,1
61241,20220824,AMD,ADVANCED MICRO DEVICES INC,92.73000,1
61241,20220825,AMD,ADVANCED MICRO DEVICES INC,97.18000,1
61241,20220826,AMD,ADVANCED MICRO DEVICES INC,91.18000,1
61241,20220829,AMD,ADVANCED MICRO DEVICES INC,88.49000,1
61241,20220830,AMD,ADVANCED MICRO DEVICES INC,86.94000,1
61241,20220831,AMD,ADVANCED MICRO DEVICES INC,84.87000,1
61241,20220901,AMD,ADVANCED MICRO DEVICES INC,82.33000,1
61241,20220902,AMD,ADVANCED MICRO DEVICES INC,80.24000,1
61241,20220906,AMD,ADVANCED MICRO DEVICES INC,78.72000,1
61241,20220907,AMD,ADVANCED MICRO DEVICES INC,79.61000,1
61241,20220908,AMD,ADVANCED MICRO DEVICES INC,82.78000,1
61241,20220909,AMD,ADVANCED MICRO DEVICES INC,85.45000,1
61241,20220912,AMD,ADVANCED MICRO DEVICES INC,84.64000,1
61241,20220913,AMD,ADVANCED MICRO DEVICES INC,77.03000,1
61241,20220914,AMD,ADVANCED MICRO DEVICES INC,77.45000,1
61241,20220915,AMD,ADVANCED MICRO DEVICES INC,76.66000,1
61241,20220916,AMD,ADVANCED MICRO DEVICES INC,76.51000,1
61241,20220919,AMD,ADVANCED MICRO DEVICES INC,76.77000,1
61241,20220920,AMD,ADVANCED MICRO DEVICES INC,75.25000,1
61241,20220921,AMD,ADVANCED MICRO DEVICES INC,74.48000,1
61241,20220922,AMD,ADVANCED MICRO DEVICES INC,69.50000,1
61241,20220923,AMD,ADVANCED MICRO DEVICES INC,67.96000,1
61241,20220926,AMD,ADVANCED MICRO DEVICES INC,66.30000,1
61241,20220927,AMD,ADVANCED MICRO DEVICES INC,67.17000,1
61241,20220928,AMD,ADVANCED MICRO DEVICES INC,68.36000,1
61241,20220929,AMD,ADVANCED MICRO DEVICES INC,64.14000,1
61241,20220930,AMD,ADVANCED MICRO DEVICES INC,63.36000,1
61241,20221003,AMD,ADVANCED MICRO DEVICES INC,66.11000,1
61241,20221004,AMD,ADVANCED MICRO DEVICES INC,67.90000,1
61241,20221005,AMD,ADVANCED MICRO DEVICES INC,67.94000,1
61241,20221006,AMD,ADVANCED MICRO DEVICES INC,67.85000,1
61241,20221007,AMD,ADVANCED MICRO DEVICES INC,58.44000,1
61241,20221010,AMD,ADVANCED MICRO DEVICES INC,57.81000,1
61241,20221011,AMD,ADVANCED MICRO DEVICES INC,57.63000,1
61241,20221012,AMD,ADVANCED MICRO DEVICES INC,57.85000,1
61241,20221013,AMD,ADVANCED MICRO DEVICES INC,58.94000,1
61241,20221014,AMD,ADVANCED MICRO DEVICES INC,55.94000,1
61241,20221017,AMD,ADVANCED MICRO DEVICES INC,57.96000,1
61241,20221018,AMD,ADVANCED MICRO DEVICES INC,57.92000,1
61241,20221019,AMD,ADVANCED MICRO DEVICES INC,57.23000,1
61241,20221020,AMD,ADVANCED MICRO DEVICES INC,57.77000,1
61241,20221021,AMD,ADVANCED MICRO DEVICES INC,58.82000,1
61241,20221024,AMD,ADVANCED MICRO DEVICES INC,58.70000,1
61241,20221025,AMD,ADVANCED MICRO DEVICES INC,61.47000,1
61241,20221026,AMD,ADVANCED MICRO DEVICES INC,59.73000,1
61241,20221027,AMD,ADVANCED MICRO DEVICES INC,58.60000,1
61241,20221028,AMD,ADVANCED MICRO DEVICES INC,62.01000,1
61241,20221031,AMD,ADVANCED MICRO DEVICES INC,60.06000,1
61241,20221101,AMD,ADVANCED MICRO DEVICES INC,59.66000,1
61241,20221102,AMD,ADVANCED MICRO DEVICES INC,58.63000,1
61241,20221103,AMD,ADVANCED MICRO DEVICES INC,60.11000,1
61241,20221104,AMD,ADVANCED MICRO DEVICES INC,62.19000,1
61241,20221107,AMD,ADVANCED MICRO DEVICES INC,63.08000,1
61241,20221108,AMD,ADVANCED MICRO DEVICES INC,63.85000,1
61241,20221109,AMD,ADVANCED MICRO DEVICES INC,59.92000,1
61241,20221110,AMD,ADVANCED MICRO DEVICES INC,68.47000,1
61241,20221111,AMD,ADVANCED MICRO DEVICES INC,72.37000,1
61241,20221114,AMD,ADVANCED MICRO DEVICES INC,73.53000,1
61241,20221115,AMD,ADVANCED MICRO DEVICES INC,76.37000,1
61241,20221116,AMD,ADVANCED MICRO DEVICES INC,72.70000,1
61241,20221117,AMD,ADVANCED MICRO DEVICES INC,73.90000,1
61241,20221118,AMD,ADVANCED MICRO DEVICES INC,73.57000,1
61241,20221121,AMD,ADVANCED MICRO DEVICES INC,72.46000,1
61241,20221122,AMD,ADVANCED MICRO DEVICES INC,75.25000,1
61241,20221123,AMD,ADVANCED MICRO DEVICES INC,76.40000,1
61241,20221125,AMD,ADVANCED MICRO DEVICES INC,75.14000,1
61241,20221128,AMD,ADVANCED MICRO DEVICES INC,73.19000,1
61241,20221129,AMD,ADVANCED MICRO DEVICES INC,73.39000,1
61241,20221130,AMD,ADVANCED MICRO DEVICES INC,77.63000,1
61241,20221201,AMD,ADVANCED MICRO DEVICES INC,77.48000,1
61241,20221202,AMD,ADVANCED MICRO DEVICES INC,74.98000,1
61241,20221205,AMD,ADVANCED MICRO DEVICES INC,73.62000,1
61241,20221206,AMD,ADVANCED MICRO DEVICES INC,70.27000,1
61241,20221207,AMD,ADVANCED MICRO DEVICES INC,70.14000,1
61241,20221208,AMD,ADVANCED MICRO DEVICES INC,70.47000,1
61241,20221209,AMD,ADVANCED MICRO DEVICES INC,68.59000,1
61241,20221212,AMD,ADVANCED MICRO DEVICES INC,70.67000,1
61241,20221213,AMD,ADVANCED MICRO DEVICES INC,71.65000,1
61241,20221214,AMD,ADVANCED MICRO DEVICES INC,68.93000,1
61241,20221215,AMD,ADVANCED MICRO DEVICES INC,66.53000,1
61241,20221216,AMD,ADVANCED MICRO DEVICES INC,65.41000,1
61241,20221219,AMD,ADVANCED MICRO DEVICES INC,64.59000,1
61241,20221220,AMD,ADVANCED MICRO DEVICES INC,65.05000,1
61241,20221221,AMD,ADVANCED MICRO DEVICES INC,67.68000,1
61241,20221222,AMD,ADVANCED MICRO DEVICES INC,63.86000,1
61241,20221223,AMD,ADVANCED MICRO DEVICES INC,64.52000,1
61241,20221227,AMD,ADVANCED MICRO DEVICES INC,63.27000,1
61241,20221228,AMD,ADVANCED MICRO DEVICES INC,62.57000,1
61241,20221229,AMD,ADVANCED MICRO DEVICES INC,64.82000,1
61241,20221230,AMD,ADVANCED MICRO DEVICES INC,64.77000,1
61241,20230103,AMD,ADVANCED MICRO DEVICES INC,64.02000,1
61241,20230104,AMD,ADVANCED MICRO DEVICES INC,64.66000,1
61241,20230105,AMD,ADVANCED MICRO DEVICES INC,62.33000,1
61241,20230106,AMD,ADVANCED MICRO DEVICES INC,63.96000,1
61241,20230109,AMD,ADVANCED MICRO DEVICES INC,67.24000,1
61241,20230110,AMD,ADVANCED MICRO DEVICES INC,68.05000,1
